2019-10-21 13:59:08 DEBUG HikariPool:411 - HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)
2019-10-21 13:59:38 DEBUG HikariPool:411 - HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)
2019-10-21 14:00:08 DEBUG HikariPool:411 - HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)
2019-10-21 14:00:38 DEBUG HikariPool:411 - HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)
2019-10-21 14:01:08 DEBUG HikariPool:411 - HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)
2019-10-21 14:01:38 DEBUG HikariPool:411 - HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)
2019-10-21 14:02:08 DEBUG HikariPool:411 - HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)
2019-10-21 14:02:38 DEBUG HikariPool:411 - HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)
2019-10-21 14:03:08 DEBUG HikariPool:411 - HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)
2019-10-21 14:03:38 DEBUG HikariPool:411 - HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)
2019-10-21 14:04:08 DEBUG HikariPool:411 - HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)
2019-10-21 14:04:38 DEBUG HikariPool:411 - HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)
2019-10-21 14:05:08 DEBUG HikariPool:411 - HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)
